name,nominations,wins
The Fallen Idol,2,1
Hamlet,3,1
Oliver Twist,1,0
Once A Jolly Swagman,1,0
The Red Shoes,1,0
Scott Of The Antarctic,1,0
The Small Voice,1,0
Odd Man Out,1,1
Louisiana Story,1,1
Farrebique,1,0
Is Everybody Listening?,1,0
Shadow Of The Ruhr,1,0
Those Blasted Kids,1,0
Three Dawns To Sydney,1,0
The World Is Rich,1,1
The Best Years Of Our Lives,1,1
Crossfire,1,0
Four Steps In The Clouds (Quattro Passi Fra Le Nuvole),1,0
Monsieur Vincent,1,0
Naked City,1,0
Paisan (Paisà),1,0
Atomic Physics,1,1
Divided World,1,0
Gandhi's Funeral (Paramount British Newsreel),1,0
Norman McLaren Abstract Reel,1,0
Your Children's Sleep,1,0
The Bear That Got A Peacock's Tail,1,0
The Cat's Concerto,1,0
No winner awarded this year,2,2
Hungry Minds,1,0
The Winslow Boy,1,0
The Third Man,2,1
Kind Hearts And Coronets,1,0
Passport To Pimlico,1,0
The Queen Of Spades,1,0
A Run For Your Money,1,0
The Small Back Room,1,0
Whisky Galore,1,0
Daybreak In Udi,2,1
Circulation,1,0
The Cornish Engine,1,0
Drug Addict,1,0
Island Of The Lagoon (Isole Nella Laguna),1,0
The Liver Fluke In Great Britain,1,0
Report On The Refugee Problem,1,0
Bicycle Thieves (Ladri Di Biciclette),1,1
Ballad Of Berlin (Berliner Ballade),1,0
The Last Stage (Ostatni Etap),1,0
The Set-Up,1,0
The Treasure Of Sierra Madre,1,0
The Window,1,0
The Martin Family (La Famille Martin),1,1
"Accidents Don't Happen, No. 5",1,0
Dots And Loops,1,0
A Fly About The House,1,0
The Legend Of St Ursula,1,0
Tale About A Soldier,1,0
The Search,1,1
Crossroads of Life (Au Carrefour De La Vie),1,0
The People Between,1,0
Sardinia Project,1,0
The Blue Lamp,1,1
Chance Of A Lifetime,1,0
Morning Departure,1,0
Seven Days To Noon,1,0
State Secret,1,0
The Wooden Horse,1,0
The Undefeated,1,1
Inland Waterways,1,0
Kon-Tiki,1,0
Green Is The Mountain (La Montagne Est Verte),2,0
Seal Island,1,0
The Vatican,1,0
Life Begins Tomorrow (La Vie Commence Demain),1,0
All About Eve,1,1
The Asphalt Jungle,1,0
Beauty And The Beast (La Beauté Du Diable),1,0
Intruder In The Dust,2,1
The Men,1,0
On The Town,1,0
Orpheus (Orphée),1,0
The True Face Of Japan - This Modern Age,1,1
The Charms Of Life (Les Charmes De L'Existence),1,0
Medieval Castles,1,0
Muscle Beach,1,0
Scrapbook For 1933,1,0
Sound,1,0
The Magic Canvas,1,0
The Dividing Line,1,0
The Lavender Hill Mob,2,1
The Browning Version,3,0
The Magic Box,2,0
The Magic Garden,2,0
The Man In The White Suit,2,0
Never Take No For An Answer,2,0
No Resting Place,2,0
White Corridors,2,0
Beaver Valley,1,1
Visit To Picasso (Bezoek aan Picasso),1,0
David,1,0
A Family Affair,2,0
Family Portrait,1,0
Oil For The Twentieth Century,1,0
Out Of True,1,0
Roundabout (La Ronde),1,1
An American In Paris,1,0
Detective Story,1,0
Sunday In August (Domenica D'Agosto),1,0
Edward And Caroline (Edouard et Caroline),1,0
Fourteen Hours,1,0
Miss Julie (Fröken Julie),1,0
The Red Badge Of Courage,1,0
The Sound Of Fury,2,0
A Walk In the Sun,1,0
Gerald McBoing Boing,1,1
Enterprise,2,0
Henry Moore,1,0
The Isle Of Man TT 1950,1,0
Mother's Day,1,0
We've Come A Long Way,1,0
The Diesel Story,1,0
Four In A Jeep (Die Vier im Jeep),1,1
The Good Life,1,0
Power For All,1,0
Ralph Richardson,4,1
Jack Hawkins,4,0
James Hayter,1,0
Laurence Olivier,9,3
Nigel Patrick,1,0
Alastair Sim,1,0
Vivien Leigh,1,1
Phyllis Calvert,1,0
Celia Johnson,3,1
Ann Todd,1,0
The Sound Barrier,5,3
The African Queen,3,0
Angels One Five,2,0
"Cry, The Beloved Country",3,1
Mandy,6,0
An Outcast Of The Islands,2,0
The River,2,0
Royal Journey,1,1
Fishermen Of Negombo,1,0
Highlights Of Farnborough 1952,1,0
Journey Into History,1,0
Le Mans 1952,1,0
Nature's Half Acre,1,0
Ocean Terminal,1,0
The Open Window,1,0
Opera School,1,0
Rig 20,1,0
The Streamlined Pig,1,0
The Boy Kumasenu,1,0
Carrie,2,0
Golden Helmet (Casque D'Or),2,1
Death Of A Salesman,2,0
Limelight,2,1
The Forgotten Ones (Los Olvidados),2,0
Miracle In Milan (Miracolo A Milano),1,0
Rashomon,1,0
Singin' In The Rain,1,0
A Streetcar Named Desire,2,1
"Viva, Zapata!",2,1
Marlon Brando,7,3
Humphrey Bogart,1,0
Pierre Fresnay,2,0
Francesco Golisano,1,0
Fredric March,3,0
Simone Signoret,7,3
Edwige Feuillère,1,0
Katharine Hepburn,5,2
Judy Holliday,2,0
Nicole Stéphane,1,0
Claire Bloom,1,1
Dorothy Alison,1,0
Mandy Miller,1,0
Dorothy Tutin,2,0
Animated Genesis,1,1
Balance 1950,1,0
Basic Principles Of Lubrication,1,0
Demonstrations In Perception,1,0
Machining Of Metals,1,0
Organisation Of The Human Body,1,0
To The Rescue,1,0
A Phantasy,1,0
The Carlsen Story,1,0
The Angry Boy,1,0
The Moon,1,0
The Stanlow Story,1,0
Neighbours,1,0
John Gielgud,5,3
Trevor Howard,4,1
Duncan Macrae,1,0
Kenneth Moore,1,0
Audrey Hepburn,6,4
Genevieve,3,1
The Cruel Sea,3,0
The Heart Of The Matter,3,0
The Kidnappers,3,0
Moulin Rouge,3,0
Elizabeth Is Queen,2,1
A Queen Is Crowned,2,1
The Conquest Of Everest,2,2
Erich von Stroheim,1,1
White Mane (Crin Blanc),1,0
Pictures of the Middle Ages (Images Medievales),1,0
"Kumak, The Sleepy Hunter",1,0
Mille Miglia,1,0
Operation Hurricane,1,0
Teeth Of The Wind,1,0
Life In The Arctic (Vo l'dakh Okeana),1,0
Water Birds,1,0
World Without End,2,1
Forbidden Games (Jeux Interdits),1,1
The Bad And The Beautiful,1,0
"Come Back, Little Sheba",2,0
From Here To Eternity,1,0
Julius Caesar,3,2
Lili,2,1
The Little World Of Don Camillo (Le Petit Monde De Don Camillo),1,0
The Medium,2,0
Mogambo,1,0
We Are All Murderers (Nous Sommes Tous Des Assassins),2,0
Roman Holiday,4,1
Shane,2,0
The Sun Shines Bright,1,0
Two Pennyworth Of Hope (Due Soldi Di Speranza),1,0
Eddie Albert,1,0
Van Heflin,1,0
Claude Laydu,1,0
Marcel Mouloudji,1,0
Gregory Peck,2,0
Spencer Tracy,5,1
Leslie Caron,2,2
Shirley Booth,2,0
Marie Powers,1,0
Maria Schell,2,0
Norman Wisdom,1,1
Colette Marchand,1,0
The Romance Of Transportation,1,1
Full Circle,1,0
Johnny On The Run,1,0
Little Boy Blew,1,0
The Dog and the Diamonds,1,0
The Pleasure Garden,1,0
The Moving Spirit,1,0
The Figurehead,1,0
Johnny on the Run,1,0
Teeth of the Wind,1,0
Song Of The Prairie (Arie Prerie),1,1
Little Brave Heart,1,0
Power To Fly,1,0
The Unicorn In The Garden,1,0
Kenneth More,3,1
Maurice Denham,1,0
Robert Donat,1,0
John Mills,4,1
David Niven,1,0
Donald Wolfit,2,0
Yvonne Mitchell,2,1
Brenda De Banzie,1,0
Margaret Leighton,2,1
Noelle Middleton,1,0
Hobson's Choice,5,1
Carrington VC,5,0
The Divided Heart,6,3
Doctor In The House,4,1
"For Better, For Worse",2,0
The Maggie,3,0
The Purple Plain,4,0
Romeo And Juliet,11,1
The Young Lovers,4,2
The Knave Of Hearts,1,0
The Great Adventure (Det Stora Äventyret),1,1
Back Of Beyond,1,0
Lekko!,1,0
3-2-1-Zero,1,0
Thursday's Children,1,0
Wages Of Fear (Le Salaire De La Peur),1,1
The Adventures Of Robinson Crusoe (Las Aventuras De Robinson Crusoe),1,0
The Caine Mutiny,2,0
Executive Suite,2,0
Gate Of Hell (Jigokumon),1,0
How To Marry A Millionaire,1,0
The Moon Is Blue,1,0
On the Waterfront,2,0
"Bread, Love And Dreams (Pane, Amore E Fantasia)",2,0
Rear Window,1,0
Riot In Cell Block 11,2,0
Seven Brides For Seven Brothers,1,0
Neville Brand,1,0
José Ferrer,1,0
James Stewart,2,0
Cornell Borchers,1,1
Grace Kelly,2,0
Gina Lollobrigida,1,0
David Kossoff,2,1
Maggie McNamara,1,0
Eva Marie Saint,2,0
Time Out Of War,2,1
Axel Petersen (Doderhultarn),1,0
The Origin Of Coal (Coal Mining As A Craft Part 1),1,0
Powered Flight: The Story of the Century,1,0
The Living Desert,1,0
The Drawings Of Leonardo Da Vinci,1,0
Blinkity Blank,1,1
Animal Farm,1,0
Down A Long Way,1,0
Fudget's Budget,1,0
The Lady And The Tramp,1,0
Magoo Express,1,0
Alfie Bass,1,0
Alec Guinness,5,2
Michael Redgrave,2,0
Katie Johnson,1,1
Margaret Johnson,1,0
Deborah Kerr,5,1
Margaret Lockwood,1,0
Richard III,3,3
The Colditz Story,2,0
The Dambusters,3,0
The Ladykillers,4,2
The Night My Number Came Up,4,0
The Prisoner,5,0
Simba,4,0
The Constant Husband,1,0
The Deep Blue Sea,2,0
Doctor At Sea,1,0
Touch And Go,2,0
The Vanishing Prairie,1,1
Gold,2,0
Miner's Window,1,0
The Rival World,1,0
Bad Day At Black Rock,2,0
Carmen Jones,2,0
East Of Eden,3,0
Marty,3,2
Seven Samurai,1,0
The  Road (La Strada),1,0
Summer Madness,2,0
Ernest Borgnine,1,1
James Dean,2,0
Jack Lemmon,7,3
Toshiro Mifune,1,0
Takashi Shimura,2,0
Frank Sinatra,2,0
Betsy Blair,1,1
Dorothy Dandridge,1,0
Judy Garland,1,0
Julie Harris,6,1
Giulietta Masina,2,0
Marilyn Monroe,2,0
Paul Scofield,3,2
Jo Van Fleet,1,0
The Bespoke Overcoat,2,1
Mr Mensah Builds A House,1,0
The Steps Of Age,1,0
Children of Hiroshima (Gembaku No Ko),1,1
Escapade,1,0
Gerald McBoing Boing On Planet Moo,1,1
Calling All Salesmen,1,0
Christopher Crumpet's Playmate,1,0
History Of The Cinema,1,0
The Invisible Moustache Of Raoul Dufy,1,0
Love And The Zeppelin,1,0
Rythmetic,1,0
Peter Finch,7,5
Virginia McKenna,2,1
Dorothy Allison,1,0
Reach For The Sky,6,2
The Battle Of The River Plate,2,0
The Man Who Never Was,4,1
A Town Like Alice,5,2
Yield To The Night,3,0
The Battle Of the River Plate,1,0
The Green Man,1,0
Private's Progress,1,0
Smiley,1,0
Three Men In A Boat,1,0
On The Bowery,1,1
Foothold In Antarctica,1,0
Generator 4,1,0
The Silent World (Le Monde Du Silence),1,0
Under The Same Sky,2,0
Gervaise,3,2
Friends For Life (Amici Per La Pelle),1,0
Baby Doll,4,1
The Unfrocked One (Le Défroqué),1,0
The Grasshopper (Poprigunya),1,0
Guys And Dolls,2,0
The Killing,1,0
The Man With The Golden Arm,2,0
Picnic,4,0
Rebel Without A Cause,2,0
The Shadow,1,0
Smiles Of A Summer Night (Sommarnattens Leende),3,0
The Trouble With Harry,2,0
War And Peace,3,0
François Périer,1,1
Gunnar Björnstrand,1,0
William Holden,2,0
Karl Malden,1,0
Anna Magnani,2,1
Carroll Baker,1,0
Eva Dahlbeck,1,0
Ava Gardner,3,0
Susan Hayward,2,0
Shirley MacLaine,8,2
Kim Novak,1,0
Marisa Pavan,1,0
Jean Simmons,2,0
Eli Wallach,1,1
Stephen Boyd,1,0
Don Murray,1,0
Susan Strasberg,1,0
Elizabeth Wilson,1,0
The Red Balloon (Le Ballon Rouge),1,1
Man In Space,1,0
On The Twelfth Day,1,0
Underwater Symphony,1,0
The Door In The Wall,1,0
Race For Life,1,1
To Your Health,1,0
The Great Locomotive Chase,1,0
Pacific Destiny,1,0
Pan-Tele-Tron,1,1
The Shepherdess And The Chimneysweep (La Bergère Et Le Ramoneur),1,0
Earth Is A Battlefield,1,0
The Magic Fluke,1,0
Heather Sears,1,1
Sylvia Syms,3,0
The Bridge On The River Kwai,4,4
The Prince And The Showgirl,5,0
The Shiralee,2,0
Windom's Way,4,0
Anastasia,1,0
The Birthday Present,1,0
Hell Drivers,1,0
The Man In The Sky,1,0
The Smallest Show On Earth,1,0
The Story Of Esther Costello,2,1
Woman In A Dressing Gown,2,0
Journey Into Spring,1,1
City Of Gold,1,0
Every Day Except Christmas,1,0
Holiday,1,0
The USA In The Thirties,1,0
The Bachelor Party,1,0
A Man Escaped (Un Condamné A Mort S'Est Echappé),1,0
"Heaven Knows, Mr Allison",2,0
He Who Must Die (Celui Qui Doit Mourir),1,0
A Man Is Ten Feet Tall,2,0
Pather Panchali,1,0
Paths Of Glory,1,0
The Gates Of Paris (Porte Des Lilas),2,0
That Night,2,0
3.10 To Yuma,1,0
The Tin Star,1,0
Twelve Angry Men,2,1
Henry Fonda,2,1
Richard Basehart,1,0
Pierre Brasseur,1,0
Tony Curtis,2,0
Jean Gabin,2,0
Robert Mitchum,1,0
Sidney Poitier,7,2
Ed Wynn,1,0
Augusta Dabney,1,0
Lili Palmer,1,0
Joanne Woodward,4,1
Eric Barker,1,1
Mylene Demongeot,1,0
Elvi Hale,1,0
James McArthur,1,0
Keith Michell,1,0
A Chairy Tale,1,1
Introducing Telex,1,0
Successful Instruction,1,0
The Happy Road (La Route Joyeuse),1,1
Like Paradise,1,0
Out,1,0
The Little Island,1,1
The Juggler Of Our Lady,1,0
The Blackbird (Le Merle),1,0
Michael Craig,1,0
Laurence Harvey,2,0
IS Johar,1,0
Anthony Quayle,1,0
Terry Thomas,1,0
Irene Worth,1,1
Hermione Baddeley,1,0
Karuna Banerjee,1,0
Room At The Top,7,3
Ice Cold In Alex,4,0
Indiscreet,3,0
Orders To Kill,4,2
Sea Of Sand,3,0
Orders to Kill,1,1
Bonjour Tristesse,1,0
A Cry From The Streets,1,0
The Inn of the Sixth Happiness,1,0
The Key,2,1
The Man Upstairs,1,0
A Night To Remember,1,0
Violent Playground,1,0
Glass (Glas),1,1
The Forerunner,1,0
Jabulani Afrika,1,0
LS Lowry,1,0
Secrets Of The Reef,1,0
Wonders Of Chicago,1,0
Cabiria (Le Notti Di Cabiria),2,0
Cat On A Hot Tin Roof,2,0
The Cranes Are Flying (Letyat Zhuravli),2,0
The Defiant Ones,4,2
No Down Payment,2,0
The Sheepman,2,0
The Unvanquished (Aparajito),2,0
Wild Strawberries (Smultronstället),2,0
The Young Lions,2,0
Glenn Ford,1,0
Curt Jurgens,1,0
Charles Laughton,2,0
Paul Newman,4,1
Victor Sjostrom,1,0
Ingrid Bergman,2,1
Tatyana Samojlova,1,0
Elizabeth Taylor,3,1
Paul Massie,1,1
Red Buttons,1,0
Teresa Izewska,1,0
Mary Peach,1,0
Ronald Radd,1,0
Maggie Smith,13,6
Gwen Vernon,1,0
The Children's Film Foundation,2,2
People Like Maria,1,0
The Unknown Soldier (Tuntematon Sotilas),1,0
The Violinist,1,1
Beep Peep,1,0
Dom,1,0
Short And Suite,1,0
Peter Sellers,4,1
Stanley Baker,1,0
Richard Burton,3,1
Gordon Jackson,1,0
Peggy Ashcroft,4,1
Wendy Hiller,2,0
Kay Walsh,1,0
Sapphire,4,1
Look Back In Anger,4,0
North West Frontier,3,0
Tiger Bay,4,1
Yesterday's Enemy,4,0
"I'm All Right, Jack",2,1
Blind Date,1,0
Expresso Bongo,2,0
The Horse's Mouth,2,0
No Trees In The Street,2,0
Ben Hur,1,1
Anatomy Of A Murder,3,0
The Face (Ansiktet),1,0
The Big Country,1,0
Compulsion,1,0
Gigi,1,0
Maigret Sets A Trap (Maigret Tend Un Piège),3,0
The Nun's Story,5,1
Ashes And Diamonds (Popiól I Diament),2,0
Some Like It Hot,2,1
