name,nom,won
The Fallen Idol,[1949 1949],[1949]
Hamlet,[1949 1949 1992],[1949]
Oliver Twist,[1949],[]
The Fallen Idol,[1949 1949],[1949]
Hamlet,[1949 1949 1992],[1949]
Oliver Twist,[1949],[]
Once A Jolly Swagman,[1949],[]
The Red Shoes,[1949],[]
Scott Of The Antarctic,[1949],[]
The Small Voice,[1949],[]
Odd Man Out,[1949],[1949]
Louisiana Story,[1949],[1949]
Farrebique,[1949],[]
Is Everybody Listening?,[1949],[]
Shadow Of The Ruhr,[1949],[]
Those Blasted Kids,[1949],[]
Three Dawns To Sydney,[1949],[]
The World Is Rich,[1949],[1949]
The Best Years Of Our Lives,[1949],[1949]
Crossfire,[1949],[]
Four Steps In The Clouds (Quattro Passi Fra Le Nuvole),[1949],[]
Monsieur Vincent,[1949],[]
Naked City,[1949],[]
Paisan (Paisà),[1949],[]
Atomic Physics,[1949],[1949]
Divided World,[1949],[]
Gandhi's Funeral (Paramount British Newsreel),[1949],[]
Norman McLaren Abstract Reel,[1949],[]
Your Children's Sleep,[1949],[]
The Bear That Got A Peacock's Tail,[1949],[]
The Cat's Concerto,[1949],[]
No winner awarded this year,[1949 1962],[1949 1962]
Hungry Minds,[1949],[]
The Winslow Boy,[1949],[]
The Third Man,[1950 1950],[1950]
Kind Hearts And Coronets,[1950],[]
Passport To Pimlico,[1950],[]
The Queen Of Spades,[1950],[]
A Run For Your Money,[1950],[]
The Small Back Room,[1950],[]
Whisky Galore,[1950],[]
Daybreak In Udi,[1950 1950],[1950]
Circulation,[1950],[]
The Cornish Engine,[1950],[]
Drug Addict,[1950],[]
Island Of The Lagoon (Isole Nella Laguna),[1950],[]
The Liver Fluke In Great Britain,[1950],[]
Report On The Refugee Problem,[1950],[]
Bicycle Thieves (Ladri Di Biciclette),[1950],[1950]
Ballad Of Berlin (Berliner Ballade),[1950],[]
The Last Stage (Ostatni Etap),[1950],[]
The Set-Up,[1950],[]
The Treasure Of Sierra Madre,[1950],[]
The Window,[1950],[]
The Martin Family (La Famille Martin),[1950],[1950]
"Accidents Don't Happen, No. 5",[1950],[]
Dots And Loops,[1950],[]
A Fly About The House,[1950],[]
The Legend Of St Ursula,[1950],[]
Tale About A Soldier,[1950],[]
The Search,[1950],[1950]
Crossroads of Life (Au Carrefour De La Vie),[1950],[]
The People Between,[1950],[]
Sardinia Project,[1950],[]
The Blue Lamp,[1951],[1951]
Chance Of A Lifetime,[1951],[]
Morning Departure,[1951],[]
Seven Days To Noon,[1951],[]
State Secret,[1951],[]
The Wooden Horse,[1951],[]
The Undefeated,[1951],[1951]
Inland Waterways,[1951],[]
Kon-Tiki,[1951],[]
Green Is The Mountain (La Montagne Est Verte),[1951 1951],[]
Seal Island,[1951],[]
The Vatican,[1951],[]
Life Begins Tomorrow (La Vie Commence Demain),[1951],[]
All About Eve,[1951],[1951]
The Asphalt Jungle,[1951],[]
Beauty And The Beast (La Beauté Du Diable),[1951],[]
Intruder In The Dust,[1951 1951],[1951]
The Men,[1951],[]
On The Town,[1951],[]
Orpheus (Orphée),[1951],[]
