title,year,director,studio,runtime,country,language,rated,iMDB rating
Gladiator,2000,Ridley Scott,Dreamworks Distribution LLC,155,"USA, UK",English,R,8.5/10
Cast Away,2000,Robert Zemeckis,20th Century Fox,143,USA,"English, Russian",PG-13,7.8/10
What Women Want,2000,Nancy Meyers,Paramount Pictures,127,USA,"English, French",PG-13,6.4/10
Dinosaur,2000,"Eric Leighton, Ralph Zondag",Buena Vista,82,USA,English,PG,6.5/10
How the Grinch Stole Christmas,2000,Ron Howard,Universal Pictures,104,"USA, Germany",English,PG,6.1/10
Meet the Parents,2000,Jay Roach,Universal Pictures,108,USA,"English, Thai, Spanish, Hebrew, French",PG-13,7.0/10
The Perfect Storm,2000,Wolfgang Petersen,,130,USA,English,PG-13,6.4/10
X-Men,2000,Bryan Singer,20th Century Fox,104,USA,English,PG-13,7.4/10
What Lies Beneath,2000,Robert Zemeckis,DreamWorks SKG,130,USA,English,PG-13,6.6/10
"Crouching Tiger, Hidden Dragon",2001,Ang Lee,Sony Pictures Classics,120,"Taiwan, Hong Kong, USA, China",Mandarin,PG-13,7.9/10
Erin Brockovich,2000,Steven Soderbergh,Universal Pictures,131,USA,English,R,7.3/10
Traffic,2001,Steven Soderbergh,USA Films,147,"USA, Germany","English, Spanish",R,7.6/10
Almost Famous,2000,Cameron Crowe,DreamWorks SKG,122,USA,"English, French",R,7.9/10
Wonder Boys,2000,Curtis Hanson,Paramount Pictures,107,"USA, Germany, UK, Japan",English,R,7.4/10
Next Friday,2000,Steve Carr,New Line Home Entertainment,98,USA,English,R,6.1/10
Supernova,2000,Walter Hill,MGM/UA,90,"USA, Switzerland",English,PG-13,4.8/10
My Dog Skip,2000,Jay Russell,Warner Bros. Pictures,95,USA,"English, German",PG,7.0/10
Down to You,2000,Kris Isacsson,Miramax,91,USA,"English, French",PG-13,4.9/10
Isn't She Great,2000,Andrew Bergman,Universal Studios Home Video,95,"USA, UK, Germany, Japan, Canada",English,R,5.4/10
Gun Shy,2000,Eric Blakeney,Hollywood Pictures,101,USA,English,R,5.7/10
Scream 3,2000,Wes Craven,Dimension Films,116,USA,English,R,5.5/10
Snow Day,2000,Chris Koch,Paramount Pictures,89,USA,English,PG,5.0/10
The Beach,2000,Danny Boyle,20th Century Fox,119,"USA, UK","English, French, Swedish, Thai, Serbian",R,6.6/10
The Tigger Movie,2000,Jun Falkenstein,Buena Vista,77,"USA, Japan",English,G,6.3/10
Boiler Room,2000,Ben Younger,New Line Home Entertainment,120,USA,"English, Russian",R,7.0/10
Hanging Up,2000,Diane Keaton,Sony Pictures Home Entertainment,94,"Germany, USA",English,PG-13,4.8/10
Pitch Black,2000,David Twohy,Gramercy Pictures/ USA Films,109,USA,"English, Arabic",R,7.1/10
The Whole Nine Yards,2000,Jonathan Lynn,Warner Home Video,98,USA,"English, French, Spanish",R,6.7/10
Reindeer Games,2000,John Frankenheimer,Dimension Films,104,USA,English,R,5.7/10
