names,nominations,wins
Katina Paxinou,1,1
Akim Tamiroff,1,1
Henry King,2,2
The Song Of Bernadette,3,3
Jennifer Jones,2,1
Paul Lukas,1,1
Agnes Moorehead,2,2
Barry Fitzgerald,1,1
Leo McCarey,1,1
Going My Way,3,3
Ingrid Bergman,8,3
Alexander Knox,1,1
Angela Lansbury,15,6
J. Carroll Naish,1,1
Billy Wilder,5,2
Frank Sinatra,5,3
The Lost Weekend,3,3
Ray Milland,2,1
Anne Baxter,1,1
Clifton Webb,2,1
Frank Capra,1,1
"Switzerland, Leopold Lindtberg",1,1
Harold Russell,1,0
The Best Years Of Our Lives,2,1
Rosalind Russell,5,5
Gregory Peck,9,5
Celeste Holm,1,1
Edmund Gwenn,2,2
Elia Kazan,5,4
George Seaton,4,3
Max Steiner,1,1
Walt Disney,3,0
Lois Maxwell,1,1
Richard Widmark,1,1
Gentleman's Agreement,4,4
Dean Stockwell,6,2
Ronald Colman,1,1
Jack Cardiff,2,2
Ellen Corby,5,2
Walter Huston,1,1
John Huston,7,3
Richard Schweizer,1,1
Brian Easdale,1,1
Fred Zinnemann,11,3
Johnny Belinda,2,2
The Treasure of the Sierra Madre,3,3
Ivan Jandl,1,1
Jane Wyman,5,4
Laurence Olivier,6,2
"United Kingdom, Laurence Olivier",2,2
Gabriel Figueroa,1,1
Mercedes McCambridge,2,2
Miriam Hopkins,1,0
James Whitmore,2,1
David Brian,1,0
Robert Rossen,1,1
William Wyler,6,1
Robert Pirosh,1,1
Walter Doniger,1,0
The Bicycle Thief,1,1
The Fallen Idol,1,0
Johnny Green,2,1
George Duning,2,0
Vincent Sherman,1,1
Maurice Cloche,1,0
Ruth Roman,1,0
Richard Todd,2,1
Juano Hernandez,1,0
The Adventures of Ichabod and Mr. Toad,1,1
On The Town,1,0
All The King's Men,7,5
Come To The Stable,1,0
Olivia de Havilland,3,2
Deborah Kerr,5,2
Broderick Crawford,1,1
Franz F. Planer,4,3
Burnett Guffey,1,0
Gloria Swanson,2,1
Bette Davis,4,0
Judy Holliday,5,1
José Ferrer,1,1
Louis Calhern,1,0
James Stewart,4,1
Fred Astaire,6,2
Dan Dailey,2,1
Harold Lloyd,1,0
Josephine Hull,1,1
Thelma Ritter,3,0
Erich von Stroheim,1,0
George Sanders,1,0
George Cukor,3,1
Joseph L. Mankiewicz,3,1
"Charles Brackett, Billy Wilder, D. M. Marshman Jr.",1,0
"Ben Maddow, John Huston",1,0
Franz Waxman,2,1
Leith Stevens,1,0
Bronislau Kaper,2,0
Delmer Daves,1,1
William A. Wellman,1,0
Gene Nelson,1,1
Mala Powers,1,0
Debbie Reynolds,5,0
Sunset Boulevard,7,4
Born Yesterday,4,1
Cyrano de Bergerac (1950),4,2
Spring Byington,1,0
Betty Hutton,1,0
Robert L. Surtees,1,1
Ernest Palmer,1,0
George Barnes,2,1
Harold Rosson,1,0
John F. Seitz,1,0
A Place In The Sun,4,1
Quo Vadis?,3,2
A Streetcar Named Desire (1951),3,1
Bright Victory,3,1
Detective Story,3,0
An American In Paris,3,1
Vivien Leigh,1,0
Shelley Winters,6,1
Fredric March,3,1
Kirk Douglas,4,1
Arthur Kennedy,2,1
Danny Kaye,5,2
Bing Crosby,2,0
Gene Kelly,4,1
Kim Hunter,1,1
Lee Grant,5,0
Peter Ustinov,3,1
Laslo Benedek,1,1
Vincente Minnelli,3,1
George Stevens,4,1
Robert Buckner,1,1
Victor Young,2,1
Bernard Herrmann,1,0
Dimitri Tiomkin,6,4
Robert Wise,7,1
Alain Resnais,1,0
Pier Angeli,2,1
Kevin McCarthy,1,1
June Allyson,2,1
Esther Williams,2,2
Alan Ladd,3,2
William V. Skall,1,1
William C. Mellor,1,0
The Greatest Show On Earth,3,3
"Come Back, Little Sheba",2,1
The Happy Time,4,0
High Noon,7,4
The Thief,6,0
With a Song in My Heart,2,2
Hans Christian Andersen,2,0
I'll See You in My Dreams,1,0
Singin' in the Rain,2,1
Star and Stripes Forever,1,0
Shirley Booth,2,1
Joan Crawford,2,0
Gary Cooper,2,1
Charles Boyer,1,0
Donald O'Connor,1,1
Katy Jurado,2,1
Mildred Dunnock,3,0
Gloria Grahame,1,0
Millard Mitchell,1,1
Kurt Kasznar,1,0
Gilbert Roland,2,0
Cecil B. deMille,1,1
Richard Fleischer,1,0
John Ford,1,0
Michael Wilson,1,1
Clarence Greene,1,0
Carl Foreman,1,0
Miklos Rozsa,3,0
Stanley Kramer,10,1
Adolph Zukor,1,0
Robert Parrish,1,0
Richard Thorpe,1,0
Francis Kee Teller,2,0
Colette Marchand,1,1
Rita Gam,1,0
Richard Burton,7,2
Aldo Ray,1,0
Robert Wagner,6,0
Brandon de Wilde,1,1
George Winslow,1,0
Susan Hayward,3,3
Katharine Hepburn,8,0
Ginger Rogers,1,0
John Wayne,3,2
Floyd Crosby,1,1
Hal Mohr,1,0
Sam Leavitt,1,0
The Robe,1,1
Audrey Hepburn,11,2
Spencer Tracy,4,1
David Niven,3,2
Grace Kelly,3,3
Helen Deutsch,1,1
Darryl F. Zanuck,1,0
Pat Crowley,2,2
Bella Darvi,3,2
Barbara Rush,2,1
Richard Egan,2,2
Steve Forrest,2,1
Hugh O'Brian,1,1
Ethel Merman,1,1
Marilyn Monroe,4,3
Robert Taylor,1,1
A Queen Is Crown,1,1
On the Waterfront,4,4
Carmen Jones,2,2
Marlon Brando,10,5
James Mason,3,1
Jan Sterling,1,1
Edmond O'Brien,3,2
Ernest Lehman,2,1
Genevieve,1,1
The Lady Of The Camelias,1,1
No Way Back,1,1
Twenty-Four Eyes,1,1
Jean Hersholt,1,0
Edward Dmytryk,2,1
Shirley MacLaine,21,5
Kim Novak,2,2
Karen Sharpe,1,1
Joe Adams,1,1
George Nader,1,1
Jeff Richards,1,1
Judy Garland,3,1
Doris Day,11,3
Joseph Ruttenberg,1,1
Boris Kaufman,1,1
East of Eden,2,1
Guys and Dolls,2,2
Anna Magnani,3,1
Ernest Borgnine,2,1
Tom Ewell,1,1
Marisa Pavan,1,1
Joshua Logan,2,1
Dangerous Curves (UK),1,1
Eyes of Children,1,1
"Sons, Mothers And A General",1,1
Stella,1,1
Ordet,1,1
Jack L. Warner,1,0
Desi Arnaz,1,1
Dinah Shore,2,1
James Dean,3,2
Anita Ekberg,1,1
Victoria Shaw,1,1
Dana Wynter,1,1
Ray Danton,1,1
Russ Tamblyn,1,1
Jean Simmons,7,1
Around the World in 80 Days,3,2
Lust For Life,4,1
The Rainmaker,4,1
War and Peace,5,1
Giant,4,1
The King and I,4,2
Bus Stop,2,0
The Opposite Sex,1,0
The Solid Gold Cadillac,2,0
The Teahouse of the August Moon,6,0
Carroll Baker,3,2
Helen Hayes,2,0
Charlton Heston,5,1
Burt Lancaster,5,1
Karl Malden,3,0
Cantinflas,2,1
Yul Brynner,1,0
Glenn Ford,3,1
Eileen Heckart,1,1
Marjorie Main,1,0
Dorothy Malone,3,0
Patty McCormack,1,0
Earl Holliman,2,1
Eddie Albert,2,0
Oscar Homolka,1,0
Anthony Quinn,6,0
Eli Wallach,1,0
Michael Anderson,1,0
King Vidor,1,0
Mervyn LeRoy,3,1
Douglas Sirk,2,1
Irving Rapper,1,0
Walter Lang,2,0
Daniel Mann,1,0
Cheyenne,1,1
Matinee Theatre,1,1
The Mickey Mouse Club,1,1
Playhouse 90,1,1
This Is Your Life,1,1
Edwin Schallert,1,0
Elizabeth Taylor,7,2
Jayne Mansfield,2,1
Natalie Wood,8,3
Taina Elg,2,2
Jacques Bergerac,1,1
John Kerr,1,1
Paul Newman,16,6
Anthony Perkins,1,1
Machiko Kyo,1,0
"West Germany, Gottfried Reinhardt",1,1
"Greece, Michael Cacoyannis",2,2
"Japan, Keisuke Kinoshita",2,2
"Italy, King Vidor",1,1
