name,nom,won
Katina Paxinou,[1944],[1944]
Akim Tamiroff,[1944],[1944]
Henry King,[1944 1956],[1944 1956]
The Song Of Bernadette,[1944 1944 1944],[1944 1944 1944]
Jennifer Jones,[1944 1975],[1944]
Paul Lukas,[1944],[1944]
Agnes Moorehead,[1945 1965],[1945 1965]
Barry Fitzgerald,[1945],[1945]
Leo McCarey,[1945],[1945]
Going My Way,[1945 1945 1945],[1945 1945 1945]
Ingrid Bergman,[1945 1946 1957 1959 1959 1970 1979 1983],[1945 1946 1983]
Alexander Knox,[1945],[1945]
Angela Lansbury,"[1946 1963 1971 1972 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993
 1995]",[1946 1963 1985 1987 1990 1992]
J. Carroll Naish,[1946],[1946]
Billy Wilder,[1946 1951 1958 1961 1973],[1946 1951]
Frank Sinatra,[1946 1954 1958 1964 1971],[1946 1954 1958]
The Lost Weekend,[1946 1946 1946],[1946 1946 1946]
Ray Milland,[1946 1953],[1946]
Anne Baxter,[1947],[1947]
Clifton Webb,[1947 1953],[1947]
Frank Capra,[1947],[1947]
"Switzerland, Leopold Lindtberg",[1947],[1947]
Harold Russell,[1947],[]
The Best Years Of Our Lives,[1947 1947],[1947]
Rosalind Russell,[1947 1948 1959 1962 1963],[1947 1948 1959 1962 1963]
Gregory Peck,[1947 1951 1955 1963 1964 1969 1978 1979 1999],[1947 1951 1955 1963 1999]
Celeste Holm,[1948],[1948]
Edmund Gwenn,[1948 1951],[1948 1951]
Elia Kazan,[1948 1955 1957 1964 1964],[1948 1955 1957 1964]
George Seaton,[1948 1951 1953 1954],[1948 1953 1954]
Max Steiner,[1948],[1948]
Walt Disney,[1948 1953 1954],[]
Lois Maxwell,[1948],[1948]
Richard Widmark,[1948],[1948]
Gentleman's Agreement,[1948 1948 1948 1948],[1948 1948 1948 1948]
Dean Stockwell,[1948 1961 1990 1991 1992 1993],[1948 1990]
Ronald Colman,[1948],[1948]
Jack Cardiff,[1948 1961],[1948 1961]
Ellen Corby,[1949 1973 1974 1975 1977],[1949 1974]
Walter Huston,[1949],[1949]
John Huston,[1949 1951 1963 1964 1965 1975 1986],[1949 1964 1986]
Richard Schweizer,[1949],[1949]
Brian Easdale,[1949],[1949]
Fred Zinnemann,[1949 1954 1958 1960 1960 1960 1961 1961 1967 1974 1978],[1949 1954 1967]
Johnny Belinda,[1949 1949],[1949 1949]
The Treasure of the Sierra Madre,[1949 1949 1949],[1949 1949 1949]
Ivan Jandl,[1949],[1949]
Jane Wyman,[1949 1951 1952 1983 1984],[1949 1951 1952 1984]
Laurence Olivier,[1949 1961 1973 1977 1980 1983],[1949 1977]
"United Kingdom, Laurence Olivier",[1949 1957],[1949 1957]
Gabriel Figueroa,[1949],[1949]
Mercedes McCambridge,[1950 1950],[1950 1950]
Miriam Hopkins,[1950],[]
James Whitmore,[1950 1976],[1950]
David Brian,[1950],[]
Robert Rossen,[1950],[1950]
William Wyler,[1950 1957 1960 1962 1966 1969],[1960]
Robert Pirosh,[1950],[1950]
Walter Doniger,[1950],[]
The Bicycle Thief,[1950],[1950]
The Fallen Idol,[1950],[]
Johnny Green,[1950 1961],[1950]
George Duning,[1950 1961],[]
Vincent Sherman,[1950],[1950]
Maurice Cloche,[1950],[]
Ruth Roman,[1950],[]
Richard Todd,[1950 1950],[1950]
Juano Hernandez,[1950],[]
The Adventures of Ichabod and Mr. Toad,[1950],[1950]
On The Town,[1950],[]
All The King's Men,[1950 1950 1950 1950 1950 1950 1950],[1950 1950 1950 1950 1950]
Come To The Stable,[1950],[]
Olivia de Havilland,[1950 1953 1987],[1950 1987]
Deborah Kerr,[1950 1957 1958 1959 1959],[1957 1959]
Broderick Crawford,[1950],[1950]
Franz F. Planer,[1950 1951 1952 1952],[1950 1951 1952]
Burnett Guffey,[1950],[]
Gloria Swanson,[1951 1964],[1951]
Bette Davis,[1951 1962 1963 1974],[]
Judy Holliday,[1951 1951 1951 1957 1961],[1951]
José Ferrer,[1951],[1951]
Louis Calhern,[1951],[]
James Stewart,[1951 1963 1965 1974],[1974]
Fred Astaire,[1951 1960 1961 1962 1969 1975],[1951 1975]
Dan Dailey,[1951 1970],[1970]
Harold Lloyd,[1951],[]
Josephine Hull,[1951],[1951]
Thelma Ritter,[1951 1952 1966],[]
Erich von Stroheim,[1951],[]
