,Awards,Country,DVD,Director,Language,Metascore,Plot,Poster,Production,Rated,Rating,RatingSource,Released,Response,Runtime,Title,Type,Website,Year,imdbID,imdbRating,imdbVotes
0,Won 5 Oscars. Another 53 wins & 101 nominations.,"USA, UK",21 Nov 2000,Ridley Scott,English,67,"When a Roman General is betrayed, and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",https://images-na.ssl-images-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Dreamworks Distribution LLC,R,8.5/10,Internet Movie Database,05 May 2000,True,155 min,Gladiator,movie,http://www.gladiator-thefilm.com,2000,tt0172495,8.5,"1,115,842"
3,Nominated for 2 Oscars. Another 15 wins & 33 nominations.,USA,12 Jun 2001,Robert Zemeckis,"English, Russian",73,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.,https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y5ZTU4YjctMDRmMC00MTg4LWE1M2MtMjk4MzVmOTE4YjkzXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,20th Century Fox,PG-13,7.8/10,Internet Movie Database,22 Dec 2000,True,143 min,Cast Away,movie,http://www.castawaymovie.com,2000,tt0162222,7.8,"440,644"
6,Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,USA,08 May 2001,Nancy Meyers,"English, French",47,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",https://images-na.ssl-images-amazon.com/images/M/MV5BZjUyZWE5YmMtNDA2ZC00NzFlLTg0MzktOTgzYjA2ZWE3NmIwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Paramount Pictures,PG-13,6.4/10,Internet Movie Database,15 Dec 2000,True,127 min,What Women Want,movie,http://www.whatwomenwantmovie.com,2000,tt0207201,6.4,"172,133"
9,4 wins & 21 nominations.,USA,30 Jan 2001,"Eric Leighton, Ralph Zondag",English,56,An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,https://images-na.ssl-images-amazon.com/images/M/MV5BZWQ1NTZjMjUtODNmZS00NTVhLWFhM2ItNWZiOTdjMzdhZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista,PG,6.5/10,Internet Movie Database,19 May 2000,True,82 min,Dinosaur,movie,http://disney.go.com/disneypictures/dinosaur/dinomain.html,2000,tt0130623,6.5,"43,561"
12,Won 1 Oscar. Another 17 wins & 37 nominations.,"USA, Germany",20 Nov 2001,Ron Howard,English,46,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town.",https://images-na.ssl-images-amazon.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Universal Pictures,PG,6.1/10,Internet Movie Database,17 Nov 2000,True,104 min,How the Grinch Stole Christmas,movie,http://www.grinched.com/,2000,tt0170016,6.1,"164,464"
15,Nominated for 1 Oscar. Another 7 wins & 14 nominations.,USA,06 Mar 2001,Jay Roach,"English, Thai, Spanish, Hebrew, French",73,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",https://images-na.ssl-images-amazon.com/images/M/MV5BMGNlMGZiMmUtZjU0NC00MWU4LWI0YTgtYzdlNGVhZGU4NWZlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Universal Pictures,PG-13,7.0/10,Internet Movie Database,06 Oct 2000,True,108 min,Meet the Parents,movie,http://www.universalpictures.com/meettheparents,2000,tt0212338,7.0,"280,104"
18,Nominated for 2 Oscars. Another 4 wins & 25 nominations.,USA,02 Sep 2008,Wolfgang Petersen,English,59,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,https://images-na.ssl-images-amazon.com/images/M/MV5BOGU2MWRiYmQtMDY1MS00OTUzLTkzYTktYjE5YTE4MTI0NzRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,PG-13,6.4/10,Internet Movie Database,30 Jun 2000,True,130 min,The Perfect Storm,movie,N/A,2000,tt0177971,6.4,"141,414"
20,13 wins & 26 nominations.,USA,21 Nov 2000,Bryan Singer,English,64,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,https://images-na.ssl-images-amazon.com/images/M/MV5BZmJkOGY4YjYtM2FmYy00MTIyLTg2YTUtMzJiNjljMWM5MGUwXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,20th Century Fox,PG-13,7.4/10,Internet Movie Database,14 Jul 2000,True,104 min,X-Men,movie,http://www.x-men-the-movie.com,2000,tt0120903,7.4,"503,695"
23,5 wins & 5 nominations.,USA,30 Jan 2001,Robert Zemeckis,English,51,The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTY4NjNkMTMtNTEyOC00NDBiLWFkZjMtZDkwYzU3OTFjOTkzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,DreamWorks SKG,PG-13,6.6/10,Internet Movie Database,21 Jul 2000,True,130 min,What Lies Beneath,movie,N/A,2000,tt0161081,6.6,"105,333"
29,Won 4 Oscars. Another 96 wins & 130 nominations.,"Taiwan, Hong Kong, USA, China",05 Jun 2001,Ang Lee,Mandarin,93,A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDdhMzMxOTctNDMyNS00NTZmLTljNWEtNTc4MDBmZTYxY2NmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Sony Pictures Classics,PG-13,7.9/10,Internet Movie Database,12 Jan 2001,True,120 min,"Crouching Tiger, Hidden Dragon",movie,http://www.crouchingtiger.com,2000,tt0190332,7.9,"230,858"
