,noms
0,1
1,2
2,1
3,5
4,1
5,4
6,1
7,5
8,1
9,4
11,1
12,1
14,1
15,2
17,2
19,1
24,1
25,1
26,1
28,2
29,1
30,1
35,1
36,4
37,2
38,1
39,5
40,2
41,1
42,1
43,3
44,3
45,1
47,1
48,1
49,1
50,1
51,2
52,1
53,4
54,1
59,3
60,1
64,3
65,1
67,1
68,1
69,1
70,5
72,1
73,3
74,1
75,4
76,1
77,2
78,1
79,1
80,1
81,2
82,4
83,1
84,1
86,1
87,5
88,1
89,1
90,4
92,1
94,1
95,1
96,4
98,4
99,1
102,3
105,4
106,1
108,1
109,1
114,1
115,3
116,4
117,7
118,1
119,3
120,4
121,1
123,2
124,3
125,7
126,1
128,2
129,1
132,1
134,1
139,4
141,1
144,1
150,1
152,1
154,1
155,1
156,1
157,1
158,1
159,4
160,2
161,3
162,1
164,1
165,1
166,4
167,1
169,3
170,3
171,3
172,4
173,3
175,3
177,1
178,1
179,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
200,1
201,1
202,1
204,1
205,2
206,3
207,1
208,4
209,4
210,4
211,4
212,1
231,4
232,1
233,1
236,3
239,2
243,2
244,1
245,1
246,2
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
258,1
261,3
263,1
264,1
265,1
266,5
267,4
268,4
270,1
271,6
272,2
274,5
275,1
276,5
277,3
278,4
280,5
281,1
286,1
289,1
290,6
291,1
292,5
293,1
296,2
298,1
299,1
304,4
305,2
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
326,1
327,1
328,1
330,8
332,6
333,1
335,1
336,1
337,1
338,2
339,1
340,3
341,3
342,7
343,4
344,3
345,4
346,7
347,4
348,1
349,1
351,4
352,2
353,1
354,1
355,1
357,1
358,1
359,5
364,6
372,1
374,1
375,2
377,2
384,8
385,2
386,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
400,1
402,1
403,2
404,1
405,1
407,1
408,1
409,1
415,5
416,7
417,4
418,6
419,6
421,2
422,1
423,4
424,3
425,2
426,1
428,7
430,2
432,1
434,7
435,7
436,7
437,7
438,2
439,1
441,2
443,3
444,2
445,1
450,1
451,1
453,2
454,1
455,1
456,2
459,5
463,2
466,2
469,3
473,1
475,1
476,1
477,2
478,1
482,1
486,4
488,3
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
504,1
506,6
507,1
508,1
510,1
515,1
522,2
523,7
524,2
525,10
526,4
527,6
528,3
529,10
530,7
531,2
533,1
535,5
536,2
537,6
538,4
540,4
543,2
545,1
547,7
548,1
549,2
550,3
551,2
552,1
553,1
561,1
562,1
563,1
564,1
565,1
566,1
567,2
568,2
569,6
570,5
575,4
578,5
580,6
583,1
584,2
585,5
586,1
588,1
589,1
590,1
592,1
593,1
594,2
596,1
597,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,3
629,1
630,1
634,7
645,4
646,3
647,4
648,4
649,5
650,1
651,5
653,4
654,4
655,1
656,5
659,1
661,1
662,5
663,7
664,3
665,4
666,1
667,6
669,3
670,2
671,1
673,4
677,3
678,1
679,3
680,5
683,3
684,2
686,3
688,5
691,7
695,3
699,1
700,2
701,1
702,3
705,1
708,6
710,1
714,1
715,2
716,1
717,1
719,1
722,1
723,1
725,1
726,2
728,1
729,4
734,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
751,3
769,4
784,7
785,13
786,8
787,2
788,11
789,2
791,2
792,7
794,3
795,6
796,4
797,7
798,13
802,2
805,1
806,3
809,3
811,5
812,6
813,7
814,6
817,3
818,1
819,2
821,1
822,5
823,2
826,8
828,1
830,1
844,1
845,1
847,2
848,1
850,1
853,6
858,2
863,1
865,1
866,1
867,1
869,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
903,1
907,6
908,1
909,1
911,1
913,11
915,1
927,5
928,7
929,2
930,11
931,6
932,6
933,3
934,1
936,7
939,6
940,5
941,6
943,7
945,3
946,1
947,4
948,2
949,2
950,2
952,1
953,3
954,1
956,1
958,4
959,3
960,2
961,3
962,5
963,4
967,2
970,6
971,11
972,4
973,2
975,2
978,1
981,5
988,5
992,1
994,1
995,2
998,1
1001,2
1003,2
1005,4
1008,2
1009,1
1012,2
1014,3
1015,1
1017,1
1018,1
1020,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,1
1044,1
1045,1
1046,1
1054,3
1055,1
1059,1
1061,1
1066,1
1068,1
1069,1
1070,1
1071,1
1074,1
1075,4
1076,1
1077,1
1087,11
1088,1
1089,2
1090,7
1091,9
1092,11
1093,2
1094,10
1096,3
1097,9
1098,6
1099,3
1100,4
1101,4
1102,10
1103,1
1108,1
1111,2
1114,1
1115,1
1116,3
1117,4
1118,1
1119,2
1120,4
1121,2
1122,3
1124,3
1129,3
1132,2
1133,1
1134,2
1136,2
1143,1
1144,1
1145,1
1146,1
1147,1
1148,1
1149,1
1150,1
1151,1
1152,1
1153,1
1159,2
1160,1
1162,1
1167,1
1170,1
1171,1
1173,1
1175,3
1176,1
1177,1
1178,1
1179,2
1180,1
1181,2
1183,2
1184,1
1185,1
1187,1
1188,2
1189,2
1190,1
1191,1
1194,1
1195,1
1205,1
1208,1
1209,1
1210,1
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1234,1
1236,1
1238,1
1239,4
1240,2
1243,1
1244,1
1245,1
1246,1
1249,1
1250,9
1253,1
1254,1
1256,7
1257,1
1258,1
1259,1
1270,8
1271,7
1272,11
1273,12
1274,3
1275,4
1276,1
1277,8
1278,1
1280,3
1281,12
1282,2
1283,1
1286,4
1290,1
1294,2
1295,2
1296,1
1297,3
1298,7
1299,4
1300,4
1301,2
1302,4
1303,2
1304,3
1305,3
1308,1
1313,1
1314,4
1316,3
1320,1
1326,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,1
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1352,11
1357,3
1358,3
1359,1
1360,3
1361,2
1362,1
1363,1
1365,1
1366,3
1373,1
1374,2
1375,1
1376,3
1377,1
1378,1
1379,2
1381,3
1382,1
1384,1
1385,1
1386,1
1389,1
1390,1
1391,3
1392,3
1402,1
1403,1
1404,1
1405,1
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,1
1413,1
1414,1
1418,1
1421,1
1423,2
1428,1
1430,1
1433,1
1434,2
1436,3
1438,3
1445,1
1446,2
1456,8
1457,9
1458,4
1459,7
1460,5
1461,12
1462,6
1463,3
1466,6
1468,1
1470,12
1472,4
1473,9
1475,4
1476,3
1477,1
1479,1
1480,6
1483,1
1484,4
1485,3
1486,3
1487,4
1489,1
1498,3
1499,2
1500,1
1503,8
1508,1
1509,1
1510,1
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,1
1521,1
1522,1
1523,1
1524,1
1525,1
1526,1
1527,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,1
1534,1
1535,1
1536,1
1537,4
1542,1
1544,1
1545,1
1547,2
1548,1
1549,2
1550,1
1551,1
1552,1
1554,1
1557,1
1558,1
1559,2
1560,4
1561,3
1562,2
1563,2
1564,2
1565,2
