name,nominations,wins
Richard Barthelmess,1,0
Emil Jannings,1,1
Louise Dresser,1,0
Janet Gaynor,2,1
Gloria Swanson,3,0
Rochus Gliese,1,0
William Cameron Menzies,2,1
Harry Oliver,2,0
George Barnes,2,0
Charles Rosher,1,1
Karl Struss,1,1
Lewis Milestone,2,2
Ted Wilde,1,0
Frank Borzage,1,1
Herbert Brenon,1,0
King Vidor,2,0
Ralph Hammeras,1,0
Roy Pomeroy,1,1
Nugent Slaughter,1,0
The Caddo Company,1,0
Fox,3,1
Paramount Famous Lasky,3,1
Metro-Goldwyn-Mayer,3,1
Alfred Cohn,1,0
Anthony Coldeway,1,0
Benjamin Glazer,1,1
Lajos Biro,1,0
Ben Hecht,1,1
Gerald Duffy,1,0
Joseph Farnham,1,1
"George Marion, Jr.",1,0
"To Charles Chaplin, for acting, writing, directing and producing The Circus .",1,1
George Bancroft,1,0
Warner Baxter,1,1
Chester Morris,1,0
Paul Muni,6,1
Lewis Stone,1,0
Ruth Chatterton,2,0
Betty Compson,1,0
Jeanne Eagels,1,0
Corinne Griffith,1,0
Bessie Love,1,0
Mary Pickford,1,1
Hans Dreier,1,0
Cedric Gibbons,1,1
Mitchell Leisen,1,0
Clyde De Vinna,1,1
Arthur Edeson,1,0
Ernest Palmer,1,0
John Seitz,1,0
Lionel Barrymore,2,1
Harry Beaumont,1,0
Irving Cummings,1,0
Frank Lloyd,2,1
Ernst Lubitsch,2,0
Feature Productions,1,0
Tom Barry,1,0
Elliott Clawson,1,0
Hans Kraly,2,1
Josephine Lovett,1,0
Bess Meredyth,1,0
George Arliss,2,1
Wallace Beery,2,1
Maurice Chevalier,1,0
Ronald Colman,3,1
Lawrence Tibbett,1,0
Nancy Carroll,1,0
Greta Garbo,3,0
Norma Shearer,6,1
Bulldog Drummond,1,0
King of Jazz,1,1
The Love Parade,4,0
Sally,1,0
The Vagabond King,1,0
All Quiet on the Western Front,3,1
Anna Christie,1,0
Hell's Angels,1,0
With Byrd at the South Pole,1,1
Clarence Brown,1,0
Robert Leonard,1,0
The Big House,3,2
Disraeli,2,0
The Divorcee,2,0
The Case of Sergeant Grischa,1,0
Raffles,1,0
Song of the Flame,1,0
Street of Chance,1,0
Jackie Cooper,1,0
Richard Dix,1,0
Fredric March,5,2
Adolphe Menjou,1,0
Marlene Dietrich,1,0
Marie Dressler,2,1
Irene Dunne,5,0
Ann Harding,1,0
Cimarron,7,3
Just Imagine,1,0
Morocco,3,0
Svengali,2,0
Whoopee!,1,0
The Right to Love,1,0
Tabu,1,1
A Free Soul,1,0
The Front Page,2,0
Skippy,3,1
East Lynne,1,0
Trader Horn,1,0
Samuel Goldwyn - United Artists Studio Sound Department,1,0
Metro-Goldwyn-Mayer Studio Sound Department,2,0
Paramount Publix Studio Sound Department,2,2
RKO Radio Studio Sound Department,2,0
The Criminal Code,1,0
Holiday,2,0
Little Caesar,1,0
The Dawn Patrol,1,1
The Doorway to Hell,1,0
Laughter,1,0
The Public Enemy,1,0
Smart Money,1,0
"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters.",1,1
"To RKO RADIO PICTURES, INC. for reflex type microphone concentrators.",1,1
"To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters.",1,1
Alfred Lunt,1,0
Lynn Fontanne,1,0
Helen Hayes,2,2
À Nous la Liberté,1,0
Arrowsmith,4,0
Transatlantic,1,1
Dr. Jekyll and Mr. Hyde,5,0
Shanghai Express,3,1
Bad Girl,3,2
The Champ,4,1
Five Star Final,1,0
Grand Hotel,1,1
One Hour with You,1,0
The Smiling Lieutenant,1,0
Flowers and Trees,1,1
It's Got Me Again,1,0
Mickey's Orphans,1,0
The Loud Mouth,1,0
The Music Box,1,1
Scratch-As-Catch-Can,1,0
Stout Hearts and Willing Hands,1,0
Screen Souvenirs,1,0
Swing High,1,0
Wrestling Swordfish,1,1
Warner Bros.-First National Studio Sound Department,1,0
Lady and Gent,1,0
The Star Witness,1,0
What Price Hollywood?,1,0
"To Walt Disney for the creation of ""Mickey Mouse.""",1,1
To TECHNICOLOR MOTION PICTURE CORP. for its color cartoon process.,1,1
To EASTMAN KODAK COMPANY for its Type II-B Sensitometer.,1,1
Leslie Howard,2,0
Charles Laughton,3,1
Katharine Hepburn,12,4
May Robson,1,0
Diana Wynyard,1,0
Cavalcade,3,3
A Farewell to Arms,4,2
When Ladies Meet,2,0
Percy Ikerd (Fox),1,0
William Tummel (Fox),1,1
Charles Dorian (Metro-Goldwyn-Mayer),1,1
Bunny Dull (Metro-Goldwyn-Mayer),1,0
John S. Waters (Metro-Goldwyn-Mayer),1,0
Charles Barton (Paramount),1,1
Sidney S. Brod (Paramount),1,0
Arthur Jacobson (Paramount),1,0
Eddie Killey (RKO Radio),1,0
Dewey Starkey (RKO Radio),1,1
Fred Fox (United Artists),1,1
Benjamin Silvey (United Artists),1,0
Scott Beal (Universal),1,1
Joe McDonough (Universal),1,0
W. J. Reiter (Universal),1,0
Al Alborn (Warner Bros.),1,0
Gordon Hollingshead (Warner Bros.),1,1
Frank X. Shaw (Warner Bros.),1,0
Reunion in Vienna,1,0
The Sign of the Cross,1,0
Lady for a Day,3,0
Little Women,7,2
42nd Street,2,0
I Am a Fugitive from a Chain Gang,2,0
The Private Life of Henry VIII,1,0
She Done Him Wrong,1,0
Smilin' Through,1,0
State Fair,4,1
Building a Building,1,0
The Merry Old Soul,1,0
The Three Little Pigs,1,1
Mister Mugg,1,0
A Preferred List,1,0
So This Is Harris,1,1
Krakatoa,1,1
Menu,1,0
The Sea,1,0
Gold Diggers of 1933,1,0
One Way Passage,1,1
The Prizefighter and the Lady,1,0
Rasputin and the Empress,1,0
Clark Gable,3,1
Frank Morgan,2,0
William Powell,3,0
Claudette Colbert,3,1
Bette Davis,11,2
Grace Moore,1,0
The Affairs of Cellini,3,0
The Gay Divorcee,5,1
The Merry Widow,3,1
Cleopatra,13,5
Imitation of Life,3,0
Viva Villa!,4,1
Operator 13,1,0
It Happened One Night,3,3
One Night of Love,5,2
The Thin Man,3,0
Eskimo,1,1
The Lost Patrol,1,0
Flying Down to Rio,1,0
She Loves Me Not,1,0
The Barretts of Wimpole Street,1,0
Flirtation Walk,2,0
Here Comes the Navy,1,0
The House of Rothschild,1,0
The White Parade,2,0
Holiday Land,1,0
Jolly Little Elves,1,0
