name,nom,won
Richard Barthelmess,[1928],[]
Emil Jannings,[1928],[1928]
Louise Dresser,[1928],[]
Janet Gaynor,[1928 1938],[1928]
Gloria Swanson,[1928 1930 1951],[]
Rochus Gliese,[1928],[]
William Cameron Menzies,[1928 1929],[1928]
Harry Oliver,[1928 1929],[]
George Barnes,[1928 1929 1941 1946 1946 1951],[1941]
Charles Rosher,[1928 1935 1945 1951 1952],[1928]
Karl Struss,[1928 1932 1933],[1928]
Lewis Milestone,[1928 1930 1931],[1928 1930]
Ted Wilde,[1928],[]
Frank Borzage,[1928 1932],[1928 1932]
Herbert Brenon,[1928],[]
King Vidor,[1928 1930 1932 1939 1957],[]
Ralph Hammeras,[1928],[]
Roy Pomeroy,[1928],[1928]
Nugent Slaughter,[1928],[]
The Caddo Company,[1928 1931],[]
Fox,[1928 1928 1929 1931 1932 1933 1933],[1928 1933]
Paramount Famous Lasky,[1928 1928 1929 1930],[1928]
Metro-Goldwyn-Mayer,"[1928 1929 1929 1930 1931 1932 1932 1932 1933 1935 1935 1935 1936 1936
 1936 1936 1937 1937 1937 1937 1937 1937 1938 1938 1938 1938 1939 1939
 1939 1939 1939 1939 1939 1940 1940 1940 1940 1940 1940 1941 1941 1941
 1941 1941 1942 1942 1942 1942 1942 1942 1943 1943 1943 1943 1944 1944
 1944 1945 1946 1947 1950 1951 1951 1953]",[1929 1932 1936 1937 1937 1938 1939 1941 1942 1942 1943 1953]
Alfred Cohn,[1928],[]
Anthony Coldeway,[1928],[]
Benjamin Glazer,[1928],[1928]
Lajos Biro,[1928],[]
Ben Hecht,[1928 1935 1941 1947],[1928]
Gerald Duffy,[1928],[]
Joseph Farnham,[1928],[1928]
"George Marion, Jr.",[1928],[]
 Warner Bros.,[1928],[1928]
 Charles Chaplin,[1928],[1928]
George Bancroft,[1929],[]
Warner Baxter,[1929],[1929]
Chester Morris,[1929],[]
Paul Muni,[1929 1933 1936 1937 1938 1960],[1937]
Lewis Stone,[1929],[]
Ruth Chatterton,[1929 1930],[]
Betty Compson,[1929],[]
Jeanne Eagels,[1929],[]
Corinne Griffith,[1929],[]
Bessie Love,[1929],[]
Mary Pickford,[1929],[1929]
Hans Dreier,[1929 1931],[]
Cedric Gibbons,[1929 1933 1939],[1929]
Mitchell Leisen,[1929],[]
Clyde De Vinna,[1929],[1929]
Arthur Edeson,[1929 1944],[]
Ernest Palmer,[1929 1951],[]
John Seitz,[1929 1944 1945 1955],[]
Lionel Barrymore,[1929 1931],[1931]
Harry Beaumont,[1929],[]
Irving Cummings,[1929],[]
Frank Lloyd,[1929 1929 1933 1936],[1929 1933]
Ernst Lubitsch,[1929 1930 1944],[]
Feature Productions,[1929],[]
Tom Barry,[1929],[]
Elliott Clawson,[1929],[]
Hans Kraly,[1929 1929 1938],[1929]
Josephine Lovett,[1929],[]
Bess Meredyth,[1929],[]
George Arliss,[1930 1930],[1930]
Wallace Beery,[1930 1932],[1932]
Maurice Chevalier,[1930],[]
Ronald Colman,[1930 1943 1948],[1948]
Lawrence Tibbett,[1930],[]
Nancy Carroll,[1930],[]
Greta Garbo,[1930 1938 1940],[]
Norma Shearer,[1930 1930 1931 1935 1937 1939],[1930]
(William Cameron Menzies),[1930],[]
Herman Rosse,[1930],[1930]
(Hans Dreier),[1930 1930],[]
(Jack Okey),[1930],[]
(Arthur Edeson),[1930],[]
(William Daniels),[1930],[]
"(Gaetano Gaudio), (Harry Perry)",[1930],[]
(Victor Milner),[1930],[]
